MediaSource,CampaignID,Country,Cost
MediaSource1,19560305480,VG,"0,021104"
MediaSource1,19560305480,IS,"6,390587"
MediaSource1,19560305480,MX,"115,808051"
MediaSource1,19560308588,AO,"0,280626"
MediaSource1,19560305480,FR,"271,936171"
MediaSource1,19560308588,JE,"0,20215"
MediaSource1,19560305480,PF,"1,729773"
MediaSource1,19560305480,TM,"0,346555"
MediaSource1,19560305480,GW,"0,08244"
MediaSource1,19560308588,KM,"0,000569"
MediaSource1,19560308588,NC,"1,748343"
MediaSource1,19560305480,MU,"2,443195"
MediaSource1,19560305480,NZ,"19,804473"
MediaSource1,19560308588,BM,"0,104506"
MediaSource1,19560308588,ML,"0,086118"
MediaSource1,19560308588,CH,"23,742605"
MediaSource1,19560308588,LI,"0,01467"
MediaSource1,19560308588,PR,"14,822562"
MediaSource1,19560305480,UZ,"8,746139"
MediaSource1,19560305480,PT,"24,050616"
MediaSource1,19560308588,SB,"0,032822"
MediaSource1,19560305480,CN,"7,151444"
MediaSource1,19560305480,GE,"17,802666"
MediaSource1,19560308588,KR,"678,124847"
MediaSource1,19560308588,LV,"13,333614"
MediaSource1,19560305480,DJ,"0,108589"
MediaSource1,19560308588,PM,"0,00382"
MediaSource1,19560308588,CW,"0,083668"
MediaSource1,19560305480,YT,"0,37901"
MediaSource1,19560305480,AD,"0,686695"
MediaSource1,19560305480,VU,"0,014863"
MediaSource1,19560305480,NE,"0,178404"
MediaSource1,19560305480,UK,"32,213869"
MediaSource1,19560308588,BR,"326,879917"
MediaSource1,19560308588,EG,"4,520002"
MediaSource1,19560308588,AL,"0,872824"
MediaSource1,19560305480,BZ,"0,33633"
MediaSource1,19560305480,PE,"35,50686"
MediaSource1,19560305480,HU,"45,167245"
MediaSource1,19560305480,TN,"2,837403"
MediaSource1,19560305480,GT,"3,52113"
MediaSource1,19560308588,TW,"81,630055"
MediaSource1,19560305480,SJ,0
MediaSource1,19560308588,CF,"0,00001"
MediaSource1,19560305480,KZ,"73,719841"
MediaSource1,19560308588,GM,"0,0351"
MediaSource1,19560305480,AU,"17,229312"
MediaSource1,19560305480,RO,"46,571089"
MediaSource1,19560308588,SL,0
MediaSource1,19560305480,BE,"34,691696"
MediaSource1,19560308588,NR,"0,310417"
MediaSource1,19560305480,MD,"16,554507"
MediaSource1,19560308588,AS,"0,30958"
MediaSource1,19560305480,IO,"0,009827"
MediaSource1,19560305480,KE,"3,960285"
MediaSource1,19560308588,GR,"21,47067"
MediaSource1,19560308588,CY,"6,750037"
MediaSource1,19560308588,TH,"70,634408"
MediaSource1,19560308588,PY,"2,52613"
MediaSource1,19560308588,LB,"0,7604"
MediaSource1,19560308588,TR,"83,971543"
MediaSource1,19560305480,SO,"0,385355"
MediaSource1,19560308588,GH,"0,288493"
MediaSource1,19560308588,IL,"29,585676"
MediaSource1,19560308588,MG,"0,062596"
MediaSource1,19560308588,FM,"0,023821"
MediaSource1,19560305480,VA,"0,00003"
MediaSource1,19560308588,BF,"0,082023"
MediaSource1,19560305480,,"2,571442"
MediaSource1,19560308588,AI,"0,006134"
MediaSource1,19560308588,RS,"9,096441"
MediaSource1,19560305480,CZ,"78,425917"
MediaSource1,19560308588,SV,"3,198949"
MediaSource1,19560305480,GQ,"0,06905"
MediaSource1,19560308588,OM,"1,01612"
MediaSource1,19560308588,FR,"288,09237"
MediaSource1,19560305480,JE,"0,042694"
MediaSource1,19560305480,AO,"1,320139"
MediaSource1,19560308588,MX,"96,205985"
MediaSource1,19560308588,IS,"2,710974"
MediaSource1,19560308588,GW,"0,022612"
MediaSource1,19560308588,TM,"0,004549"
MediaSource1,19560308588,PF,"0,886358"
MediaSource1,19560305480,GN,"0,19006"
MediaSource1,19560308588,KY,"0,313387"
MediaSource1,19560308588,SI,"6,13921"
MediaSource1,19560305480,TT,"1,700352"
MediaSource1,19560308588,VG,"0,087148"
MediaSource1,19560305480,FK,"0,043142"
MediaSource1,19560305480,MA,"6,366309"
MediaSource1,19560308588,BH,"0,589264"
MediaSource1,19560308588,UY,"12,934077"
MediaSource1,19560308588,GF,"0,840986"
MediaSource1,19560308588,CM,"0,033335"
MediaSource1,19560305480,SA,"17,073633"
MediaSource1,19560305480,XK,"2,147742"
MediaSource1,19560308588,PW,"0,019668"
MediaSource1,19560308588,WS,"0,003696"
MediaSource1,19560308588,SX,"0,016316"
MediaSource1,19560305480,LU,"2,429247"
MediaSource1,19560305480,BQ,"0,041147"
MediaSource1,19560308588,JM,"2,99872"
MediaSource1,19560305480,ZA,"41,671961"
MediaSource1,19560308588,AG,"0,145613"
MediaSource1,19560305480,MP,"0,194614"
MediaSource1,19560308588,LS,0
MediaSource1,19560308588,PH,"55,70416"
MediaSource1,19560305480,DO,"9,254655"
MediaSource1,19560308588,TC,"0,045014"
MediaSource1,19560308588,CR,"15,654524"
MediaSource1,19560305480,KN,"0,513729"
MediaSource1,19560308588,GY,"0,018498"
MediaSource1,19560308588,MV,"0,222532"
MediaSource1,19560308588,BW,"0,203822"
MediaSource1,19560305480,ID,"106,347737"
MediaSource1,19560308588,ES,"116,811321"
MediaSource1,19560305480,MO,"0,275615"
MediaSource1,19560308588,VI,"0,977508"
MediaSource1,19560305480,BN,"0,722089"
MediaSource1,19560305480,TZ,"0,907517"
MediaSource1,19560308588,SG,"6,236146"
MediaSource1,19560305480,CK,"0,213375"
MediaSource1,19560308588,KW,"1,714477"
MediaSource1,19560305480,GM,"0,067882"
MediaSource1,19560308588,KZ,"38,499716"
MediaSource1,19560305480,CF,"0,00092"
MediaSource1,19560308588,SJ,"0,00014"
MediaSource1,19560305480,TW,"42,600963"
MediaSource1,19560308588,RO,"37,826918"
MediaSource1,19560308588,AU,"8,942957"
MediaSource1,19560308588,BZ,"0,086503"
MediaSource1,19560305480,AL,"2,711503"
MediaSource1,19560305480,EG,"11,061123"
MediaSource1,19560308588,UK,"25,785671"
MediaSource1,19560308588,GT,"2,300312"
MediaSource1,19560308588,TN,"0,284074"
MediaSource1,19560308588,HU,"34,716227"
MediaSource1,19560308588,PE,"25,582174"
MediaSource1,19560305480,TH,"71,304478"
MediaSource1,19560305480,CY,"6,59462"
MediaSource1,19560305480,GR,"31,508318"
MediaSource1,19560308588,KE,"1,139291"
MediaSource1,19560305480,SL,0
MediaSource1,19560308588,IO,"0,00005"
MediaSource1,19560305480,AS,"1,232632"
